neuron_output_current X,neuron_output_current Y
5e-07,1.366804481312508e-06
5.454545e-07,1.366804845631487e-06
5.909091e-07,1.366805224724158e-06
6.363636000000001e-07,1.366807131458374e-06
6.818182e-07,1.366807442502392e-06
7.272727e-07,1.366770144136944e-06
7.727273e-07,1.366806694416928e-06
8.181818e-07,1.366794446425405e-06
8.636364e-07,1.366820407114412e-06
9.090909e-07,1.366884823406468e-06
9.545455e-07,1.36715850890086e-06
1e-06,1.368009072824572e-06
1.045455e-06,1.370328420800892e-06
1.090909e-06,1.37574043467737e-06
1.136364e-06,1.386347215877201e-06
1.181818e-06,1.405022412120411e-06
1.227273e-06,1.43293451766216e-06
1.272727e-06,1.469569157050945e-06
1.318182e-06,1.512568995206321e-06
1.363636e-06,1.558754750845592e-06
1.409091e-06,1.606133731454051e-06
1.454545e-06,1.653754519497641e-06
1.5e-06,1.701358983328922e-06
1.545455e-06,1.74880718973796e-06
1.590909e-06,1.796077252009078e-06
1.636364e-06,1.84315171630394e-06
1.681818e-06,1.890024214476895e-06
1.727273e-06,1.936688678195583e-06
1.772727e-06,1.983139674316553e-06
1.818182e-06,2.029372396314043e-06
1.863636e-06,2.075382512762899e-06
1.909091e-06,2.121166180123413e-06
1.954545e-06,2.166720089969947e-06
2e-06,2.212041508370607e-06
2.045455e-06,2.25712829821791e-06
2.090909e-06,2.301973647903408e-06
2.136364e-06,2.346586707132489e-06
2.181818e-06,2.390962227025806e-06
2.227273e-06,2.435100355962638e-06
2.272727e-06,2.479001706992212e-06
2.318182e-06,2.522667337406331e-06
2.363636e-06,2.56609867820599e-06
2.409091e-06,2.60929742391718e-06
2.454545e-06,2.65226522021473e-06
2.5e-06,2.69500241601559e-06
2.545455e-06,2.737501964545151e-06
2.590909e-06,2.779713367906965e-06
2.636364e-06,2.821765288591103e-06
2.681818e-06,2.86359668620644e-06
2.727273e-06,2.905210096628932e-06
2.772727e-06,2.946829614233823e-06
2.818182e-06,2.988047227378912e-06
2.863636e-06,3.029070338273277e-06
2.909091e-06,3.069884904050198e-06
2.954545e-06,3.110554907194826e-06
3e-06,3.151046729749338e-06
3.045455e-06,3.191152128192724e-06
3.090909e-06,3.231189990384272e-06
3.136364e-06,3.271040647992775e-06
3.181818e-06,3.310707008129299e-06
3.227273e-06,3.350191888695334e-06
3.272727e-06,3.389498021562681e-06
3.318182e-06,3.428628105838211e-06
3.363636e-06,3.46758478857142e-06
3.409091e-06,3.506370655919652e-06
3.454545e-06,3.544988216140151e-06
3.5e-06,3.583439982281489e-06
3.545455e-06,3.621728374357391e-06
3.590909e-06,3.659855752325789e-06
3.636364e-06,3.697824405939525e-06
3.681818e-06,3.735612358190873e-06
3.727273e-06,3.773145704254669e-06
3.772727e-06,3.811006508232753e-06
3.818182e-06,3.848204245660136e-06
3.863636e-06,3.885363147377534e-06
3.909091e-06,3.922424399220527e-06
3.954545e-06,3.959341353123621e-06
4e-06,3.996115781219292e-06
4.045455e-06,4.03274974305003e-06
4.090909e-06,4.069244673460201e-06
4.136364e-06,4.105602317072228e-06
4.181818e-06,4.141824609126362e-06
4.227273e-06,4.177912924088682e-06
4.272727e-06,4.213878198444313e-06
4.318182e-06,4.249701976121817e-06
4.363636e-06,4.28539715070869e-06
4.409091e-06,4.320964611607725e-06
4.454545e-06,4.356405792124495e-06
4.5e-06,4.391722100477989e-06
4.545455e-06,4.42691489848907e-06
4.590909e-06,4.461985515806955e-06
4.636364e-06,4.496935256408571e-06
4.681818e-06,4.531765393659807e-06
4.727273e-06,4.56647717096968e-06
4.772727e-06,4.601071802462216e-06
4.818182e-06,4.63555047383403e-06
4.863636e-06,4.669914342790802e-06
4.909091e-06,4.704164539741804e-06
4.954545e-06,4.738302168043311e-06
5e-06,4.77232830490452e-06
